month,day,hour,min,sec,pan[rad],tlt[rad],str_1[rad],str_2[rad],str_3[rad],str_4[rad],drv_1[rad],drv_2[rad],drv_3[rad],drv_4[rad]
1,1,9,35,24.0000,0.0517,1.1399,-0.0011,-0.0007,-0.0009,0.0013,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,25.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,25.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,25.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,25.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,25.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,26.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,26.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,26.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,26.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,26.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,27.0000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,27.2000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,27.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,27.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,27.8000,0.0517,1.1399,-0.0008,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,28.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,28.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,28.4000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,28.6000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,28.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,29.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,29.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,29.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,29.6000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,29.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,30.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,30.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,30.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,30.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,30.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,31.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,31.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,31.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,31.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,31.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,32.0000,0.0517,1.1399,-0.0008,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,32.2000,0.0517,1.1399,-0.0008,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,32.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,32.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,32.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,33.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,33.2000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,33.4000,0.0517,1.1399,-0.0008,-0.0009,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,33.6000,0.0517,1.1399,-0.0008,-0.0007,-0.0014,0.0009,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,33.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,34.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
